ID,Ley,Articulo,Objetivo,Stakeholder,ID-EV,ID-RF,Tipo,ID-CU,ID-HU,ID-CA,ID-Componente,ID-Mockup
MT-001,LOPDP,Art.26,OBJ-01,S-03,EV-01,RF-01,RF,CU-02,HU-01,CA-01,CMP-PRE,MU-07
MT-002,LOPDP,Art.26,OBJ-01,S-03,EV-01,RF-02,RF,CU-09,HU-02,CA-02,CMP-PRE,MU-07
MT-003,LOPDP,Art.7,OBJ-01,S-01,EV-10,RF-03,RF,CU-02,HU-03,CA-03,CMP-PRE,MU-06
MT-004,LOPDP,Art.26,OBJ-01,S-01,EV-01/08,RF-04,RF,CU-02,HU-04,CA-04,CMP-NOT,MU-06
MT-005,LOPDP,Art.26,OBJ-01,S-03,EV-01,RF-05,RF,CU-02,HU-05,CA-05,CMP-NOT,MU-05
MT-006,LOPDP,Art.14,OBJ-04,S-01,EV-02/13,RF-06,RF,CU-01,HU-06,CA-06,CMP-CAT,MU-02
MT-007,LOPDP,Art.14,OBJ-04,S-01,EV-02,RF-07,RF,CU-01,HU-07,CA-07,CMP-CAT,MU-02
MT-008,LOPDP,Art.14,OBJ-04,S-01,EV-02,RF-08,RF,CU-01,HU-08,CA-08,CMP-CAT,MU-02
MT-009,LOPDP,Art.7,OBJ-02,S-01,EV-03/15,RF-09,RF,CU-03,HU-09,CA-09,CMP-RES,MU-03
MT-010,LOPDP,Art.7,OBJ-02,S-01,EV-03,RF-10,RF,CU-03,HU-10,CA-10,CMP-RES,MU-03
MT-011,LOPDP,Art.7,OBJ-02,S-03,EV-03,RF-11,RF,CU-03,HU-11,CA-11,CMP-RES,MU-03
MT-012,LOPDP,Art.12,OBJ-03,S-03,EV-04,RF-12,RF,CU-04,HU-12,CA-12,CMP-ACC,MU-05
MT-013,LOPDP,Art.12,OBJ-03,S-03,EV-04,RF-13,RF,CU-04,HU-13,CA-13,CMP-ACC,MU-05
MT-014,LOPDP,Art.8,OBJ-05,S-01,EV-05,RF-14,RF,CU-05,HU-14,CA-14,CMP-IA,MU-04
MT-015,LOPDP,Art.8,OBJ-05,S-01,EV-05,RF-15,RF,CU-05,HU-15,CA-15,CMP-IA,MU-04
MT-016,LOPDP,Art.8,OBJ-05,S-01,EV-06,RF-16,RF,CU-05,HU-16,CA-16,CMP-IA,MU-04
MT-017,LOPDP,Art.26,OBJ-06,S-05,EV-09,RF-17,RF,CU-07,HU-17,CA-17,CMP-ADM,MU-08
MT-018,LOPDP,Art.14,OBJ-06,S-04,EV-07/14,RF-18,RF,CU-06,HU-18,CA-18,CMP-REP,MU-05
MT-019,LOPDP,Art.7,OBJ-06,S-03,EV-11,RF-19,RF,CU-08,HU-19,CA-19,CMP-NOT,MU-05
MT-020,LOPDP,Art.8,OBJ-05,S-01,EV-12,RF-20,RF,CU-05,HU-20,CA-20,CMP-IA,MU-04
MT-021,LOPDP,Art.14,OBJ-01,S-01,EV-01/08/10,RF-21,RF,CU-11,HU-21,CA-21,CMP-PRE,MU-06
MT-022,LOPDP,Art.26,OBJ-06,S-05,EV-09,RF-22,RF,CU-12,HU-22,CA-22,CMP-ADM,MU-01
MT-023,LOPDP,Art.26,OBJ-04,S-03,EV-01/02,RF-23,RF,CU-13,HU-23,CA-23,CMP-CAT,MU-05
MT-024,LOPDP,Art.7,OBJ-02,S-01,EV-03,RF-24,RF,CU-03,HU-24,CA-24,CMP-RES,MU-03
MT-025,LOPDP,Art.12,OBJ-03,S-04,EV-07/14,RF-25,RF,CU-06,HU-25,CA-25,CMP-ACC,MU-05
MT-026,ISO25010,—,OBJ-04,S-01,EV-02,RNF-01,RNF,CU-01,HU-06,CA-06,CMP-CAT,MU-02
MT-027,ISO25010,—,OBJ-06,S-05,EV-09,RNF-02,RNF,CU-12,--,--,CMP-ADM,MU-01
MT-028,LOPDP,Art.26,OBJ-06,S-05,EV-09,RNF-03,RNF,CU-12,HU-22,CA-22,CMP-ADM,MU-01
MT-029,ISO25010,—,OBJ-02,S-01,EV-03,RNF-04,RNF,CU-03,HU-09,CA-09,CMP-RES,MU-03
MT-030,ISO25010,—,OBJ-04,S-01,EV-13,RNF-05,RNF,CU-01,HU-06,CA-06,CMP-CAT,MU-02
MT-031,ISO25010,—,OBJ-01,S-03,EV-01,RNF-06,RNF,CU-02,HU-01,CA-01,CMP-PRE,MU-07
MT-032,ISO25010,—,OBJ-06,S-05,EV-09,RNF-07,RNF,CU-07,HU-17,CA-17,CMP-ADM,MU-09
MT-033,LOPDP,Art.26,OBJ-06,S-05,EV-09,RNF-08,RNF,CU-07,HU-17,CA-17,CMP-ADM,MU-08
MT-034,ISO25010,—,OBJ-01,S-03,EV-01,RNF-09,RNF,CU-02,HU-01,CA-01,CMP-PRE,MU-07
MT-035,ISO25010,—,OBJ-06,S-05,EV-09,RNF-10,RNF,CU-12,--,--,CMP-ADM,MU-09
MT-036,ISO25010,—,OBJ-06,S-05,EV-09,RNF-11,RNF,CU-07,HU-17,CA-17,CMP-ADM,MU-09
MT-037,LOPDP,Art.8,OBJ-05,S-01,EV-05,RNF-12,RNF,CU-05,HU-15,CA-15,CMP-IA,MU-04
MT-038,LOPDP,Art.8,OBJ-05,S-01,EV-06,RNF-13,RNF,CU-05,HU-16,CA-16,CMP-IA,MU-04
MT-039,LOPDP,Art.8,OBJ-05,S-01,EV-05,RNF-14,RNF,CU-05,HU-14,CA-14,CMP-IA,MU-04
MT-040,LOPDP,Art.26,OBJ-06,S-05,EV-09,RNF-15,RNF,CU-07,HU-17,CA-17,CMP-ADM,MU-08
